StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your NUID?,What locality is your house in?,What is your gender?,What is your age?,What is your marital status?,What kind of apartment do you live in?,How many bedrooms does your house have?,How many bathrooms does your house have?,How much rent are you paying for the entire house? (in dollars),What is the zip code of your locality?,What is the distance of your house from the university? (in miles),What is the square feet of your house?,What is the furnishment level of your house?,How many persons are there on lease in your house?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}"
1/30/2023 11:40,1/30/2023 11:43,IP Address,73.4.25.137,100,171,TRUE,1/30/2023 11:43,R_1GDCduUBcGLqIXQ,,,,,42.2463,-70.9972,anonymous,EN,2769161,Others,Female,25 - 30,Married,Apartment,1BHK,1,1100,2170,7,500 - 1000,Furnished,2
1/30/2023 14:09,1/30/2023 14:10,IP Address,155.33.133.38,100,85,TRUE,1/30/2023 14:10,R_32KsrAz3avf3KVN,,,,,42.3427,-71.0922,anonymous,EN,2967351,Others,Male,20 - 25,Single,Apartment,3BHK,1,3999,2115,1,1000 - 2000,Semifurnished,4
1/30/2023 16:13,1/30/2023 16:16,IP Address,155.33.133.44,100,176,TRUE,1/30/2023 16:16,R_2cb9A1inIiD2urK,,,,,42.3427,-71.0922,anonymous,EN,2651026,Others,Male,20 - 25,Single,Apartment,2BHK,1,2700,2215,1,500 - 1000,Unfurnished,4
1/30/2023 19:50,1/30/2023 19:51,IP Address,73.253.194.54,100,74,TRUE,1/30/2023 19:51,R_2uJ8uP1jWFig0xo,,,,,42.2518,-71.0805,anonymous,EN,131,Others,Male,30 - 35,Married,Apartment,1BHK,1,1750,2169,8.5,500 - 1000,Unfurnished,2
1/31/2023 9:28,1/31/2023 9:28,IP Address,155.33.134.56,100,41,TRUE,1/31/2023 9:28,R_1dmF4x1K4C0Jton,,,,,42.3427,-71.0922,anonymous,EN,,,,,,,,,,,,,,
1/31/2023 9:56,1/31/2023 9:56,IP Address,73.167.13.232,100,4,TRUE,1/31/2023 9:56,R_23LMZN5CNgEvGcF,,,,,42.2903,-71.0798,anonymous,EN,,,,,,,,,,,,,,
1/31/2023 10:12,1/31/2023 10:14,IP Address,73.119.59.95,100,90,TRUE,1/31/2023 10:14,R_41MSSiSMZ6R88bD,,,,,42.3768,-71.0611,anonymous,EN,2745522,Others,Male,20 - 25,Single,Apartment,2BHK,1,3400,2118,0.6,1000 - 2000,Unfurnished,2
1/31/2023 14:37,1/31/2023 14:38,IP Address,68.235.38.163,100,93,TRUE,1/31/2023 14:38,R_bJwmCrbjgMa1QiZ,,,,,41.871,-87.6289,anonymous,EN,2726560,Huntington Avenue,Male,25 - 30,Single,Apartment,2BHK,2,1800,2116,1.1,500 - 1000,Semifurnished,2
1/31/2023 15:24,1/31/2023 15:26,IP Address,108.1.153.22,100,122,TRUE,1/31/2023 15:26,R_NUuhB0fJrTJGj5v,,,,,42.2903,-71.0798,anonymous,EN,2657584,Roxbury,Male,25 - 30,Married,Apartment,1BHK,1,2900,2120,0.6,500 - 1000,Unfurnished,2
1/31/2023 16:00,1/31/2023 16:03,IP Address,155.33.132.60,100,153,TRUE,1/31/2023 16:03,R_3M0zjyjwgPz3v67,,,,,42.3427,-71.0922,anonymous,EN,2752744,Roxbury,Male,20 - 25,Single,Individual Houses,5BHK,2,6095,2120,0.6,3000 - 4000,Unfurnished,5
1/31/2023 16:15,1/31/2023 16:16,IP Address,155.33.134.20,100,59,TRUE,1/31/2023 16:16,R_1IFTju6XgBkta19,,,,,42.3427,-71.0922,anonymous,EN,2797612,Others,Female,20 - 25,Single,Condos,5BHK,3,4000,2135,2.3,4000 - 5000,Semifurnished,5
1/31/2023 16:25,1/31/2023 16:26,IP Address,155.33.133.5,100,78,TRUE,1/31/2023 16:26,R_1hMi3kMqzxAJ98i,,,,,42.3427,-71.0922,anonymous,EN,2683952,Others,Male,20 - 25,Single,Apartment,1BHK,1,3500,2120,0.8,500 - 1000,Semifurnished,2
1/31/2023 16:26,1/31/2023 16:28,IP Address,155.33.135.8,100,80,TRUE,1/31/2023 16:28,R_1IjdeLj6tjQ9flG,,,,,42.3427,-71.0922,anonymous,EN,72656381,Jamaica Plain,Male,20 - 25,Single,Individual Houses,2BHK,1,560,2120,3,1000 - 2000,Semifurnished,2
1/31/2023 16:27,1/31/2023 16:29,IP Address,155.33.135.48,100,77,TRUE,1/31/2023 16:29,R_3fHNgmMv1L349gT,,,,,42.3427,-71.0922,anonymous,EN,2623971,Roxbury,Male,20 - 25,Single,Apartment,3BHK,2,3200,2119,1.1,1000 - 2000,Semifurnished,3
1/31/2023 17:02,1/31/2023 17:04,IP Address,155.33.135.46,100,138,TRUE,1/31/2023 17:04,R_2ri9dHYnnOMnZyL,,,,,42.3427,-71.0922,anonymous,EN,1887542,Others,Male,20 - 25,Single,Apartment,2BHK,2,3000,2446,2.1,1000 - 2000,Semifurnished,2
1/31/2023 17:51,1/31/2023 17:51,IP Address,155.33.135.8,100,3,TRUE,1/31/2023 17:51,R_3DqeJh3GDCbsrUJ,,,,,42.3427,-71.0922,anonymous,EN,,,,,,,,,,,,,,
1/31/2023 17:55,1/31/2023 17:55,IP Address,155.33.132.11,100,39,TRUE,1/31/2023 17:56,R_2XpP6Tiyf3EhG4q,,,,,42.3427,-71.0922,anonymous,EN,2915626,Roxbury,Female,20 - 25,Single,Apartment,1BHK,1,500,2119,0.4,500 - 1000,Unfurnished,2
1/31/2023 19:25,1/31/2023 19:28,IP Address,38.15.230.145,100,162,TRUE,1/31/2023 19:28,R_2XcZcmYKvfazCkp,,,,,42.3634,-71.0713,anonymous,EN,2926629,Others,Male,20 - 25,Single,Apartment,2BHK,2,2480,2114,2.4,1000 - 2000,Unfurnished,2
1/31/2023 20:18,1/31/2023 20:20,IP Address,151.203.75.30,100,80,TRUE,1/31/2023 20:20,R_3qL7KRYqQd4OsBb,,,,,42.1815,-71.3011,anonymous,EN,2957322,Others,Male,20 - 25,Single,Individual Houses,4BHK,4,0,2052,22,3000 - 4000,Furnished,1
1/31/2023 20:19,1/31/2023 20:21,IP Address,71.235.251.229,100,129,TRUE,1/31/2023 20:21,R_3HSpdiLzim7me0Z,,,,,42.364,-71.0265,anonymous,EN,2192242,Others,Female,25 - 30,Married,Individual Houses,2BHK,1,3000,2125,3.2,1000 - 2000,Unfurnished,4
1/31/2023 20:37,1/31/2023 20:39,IP Address,73.167.13.232,100,78,TRUE,1/31/2023 20:39,R_2tfHXVtzv74uuzu,,,,,42.2903,-71.0798,anonymous,EN,2799061,Huntington Avenue,Female,20 - 25,Single,Individual Houses,4BHK,1,3200,2120,1.2,1000 - 2000,Semifurnished,3
1/31/2023 21:31,1/31/2023 21:33,IP Address,63.97.102.83,100,156,TRUE,1/31/2023 21:33,R_78tRPfyt6k6QHU5,,,,,40.7681,-73.8291,anonymous,EN,2623660,Others,Female,25 - 30,Single,Apartment,1BHK,1,2500,2148,10,500 - 1000,Unfurnished,2
2/1/2023 17:20,2/1/2023 17:21,IP Address,73.143.107.120,100,53,TRUE,2/1/2023 17:21,R_1Cqjf6R8EphxRma,,,,,42.2903,-71.0798,anonymous,EN,2748214,Roxbury,Male,20 - 25,Single,Apartment,2BHK,1,2200,2120,1,500 - 1000,Unfurnished,2
2/1/2023 19:13,2/1/2023 19:15,IP Address,71.234.97.196,100,97,TRUE,2/1/2023 19:15,R_3PUogrInEGN34TC,,,,,42.2904,-71.0712,anonymous,EN,2664202,Others,Female,25 - 30,Single,Apartment,2BHK,1,2600,2115,1.2,500 - 1000,Unfurnished,2
2/1/2023 20:56,2/1/2023 20:57,IP Address,131.239.77.217,100,106,TRUE,2/1/2023 20:57,R_2wcUs72XxhhsOsd,,,,,43.0391,-76.1277,anonymous,EN,2650879,Others,Female,20 - 25,Married,Apartment,1BHK,1,2500,2150,6.7,500 - 1000,Unfurnished,1
2/2/2023 12:04,2/2/2023 12:06,IP Address,96.230.249.218,100,133,TRUE,2/2/2023 12:06,R_1OoxobUzDc7vCN9,,,,,42.4178,-71.1134,anonymous,EN,150410404,Cambridge,Male,20 - 25,Single,Apartment,2BHK,2,2300,2148,6,1000 - 2000,Furnished,2
2/4/2023 7:40,2/4/2023 7:41,IP Address,50.208.167.250,100,59,TRUE,2/4/2023 7:41,R_2S0T6UBDQLqlaT8,,,,,42.312,-71.1081,anonymous,EN,,Jamaica Plain,Female,30 - 35,Single,Apartment,2BHK,1,4150,2130,1.4,1000 - 2000,Unfurnished,2
2/7/2023 14:30,2/7/2023 14:31,IP Address,155.33.134.23,100,49,TRUE,2/7/2023 14:31,R_1LvDzAu5xmQkpxN,,,,,42.3427,-71.0922,anonymous,EN,2799750,Others,Female,25 - 30,Single,Individual Houses,4BHK,1,3000,2135,3.5,1000 - 2000,Unfurnished,4
